,aluminium (USD)
03/03/2016,1535.0
02/03/2016,1520.0
01/03/2016,1515.0
29/02/2016,1575.0
25/02/2016,1560.0
24/02/2016,1570.0
23/02/2016,1570.0
22/02/2016,1570.0
18/02/2016,1570.0
17/02/2016,1570.0
16/02/2016,1570.0
15/02/2016,1560.5
11/02/2016,1585.0
10/02/2016,1570.0
09/02/2016,1575.0
08/02/2016,1525.0
04/02/2016,1521.0
03/02/2016,1535.0
02/02/2016,1560.0
01/02/2016,1540.0
28/01/2016,1580.0
27/01/2016,1550.0
26/01/2016,1510.0
25/01/2016,1530.0
20/01/2016,1560.0
19/01/2016,1560.0
18/01/2016,1551.0
14/01/2016,1570.0
13/01/2016,1595.0
12/01/2016,1600.0
11/01/2016,1600.0
07/01/2016,1581.0
06/01/2016,1561.0
05/01/2016,1615.0
04/01/2016,1605.0
30/12/2015,1610.0
29/12/2015,1605.0
23/12/2015,1605.0
22/12/2015,1605.0
17/12/2015,1590.0
16/12/2015,1575.0
15/12/2015,1561.0
14/12/2015,1595.0
10/12/2015,1555.0
09/12/2015,1570.0
08/12/2015,1561.0
07/12/2015,1615.0
02/12/2015,1615.0
26/11/2015,1575.0
25/11/2015,1540.0
24/11/2015,1585.0
23/11/2015,1550.5
19/11/2015,1610.0
18/11/2015,1585.0
17/11/2015,1610.0
12/11/2015,1560.0
10/11/2015,1551.0
09/11/2015,1550.5
05/11/2015,1610.0
04/11/2015,1615.0
03/11/2015,1590.0
02/11/2015,1615.0
29/10/2015,1645.0
28/10/2015,1635.0
27/10/2015,1665.0
26/10/2015,1665.0
22/10/2015,1645.0
21/10/2015,1655.0
20/10/2015,1660.0
19/10/2015,1660.0
15/10/2015,1690.0
14/10/2015,1690.0
12/10/2015,1690.0
08/10/2015,1680.0
07/10/2015,1685.0
06/10/2015,1680.0
05/10/2015,1700.0
01/10/2015,1715.0
30/09/2015,1685.0
29/09/2015,1685.0
28/09/2015,1685.0
24/09/2015,1685.0
23/09/2015,1690.0
22/09/2015,1695.0
21/09/2015,1740.0
17/09/2015,1705.0
16/09/2015,1710.0
15/09/2015,1710.0
14/09/2015,1695.0
10/09/2015,1700.0
09/09/2015,1680.0
08/09/2015,1680.0
07/09/2015,1675.0
03/09/2015,1690.0
02/09/2015,1621.0
01/09/2015,1645.0
26/08/2015,1685.0
25/08/2015,1680.0
24/08/2015,1705.0
20/08/2015,1670.0
19/08/2015,1675.0
18/08/2015,1680.0
17/08/2015,1675.0
13/08/2015,1700.0
12/08/2015,1715.0
11/08/2015,1770.0
10/08/2015,1685.0
06/08/2015,1685.0
05/08/2015,1695.0
04/08/2015,1675.0
03/08/2015,1646.0
30/07/2015,1715.0
29/07/2015,1725.0
28/07/2015,1715.0
27/07/2015,1720.0
23/07/2015,1715.0
22/07/2015,1715.0
21/07/2015,1685.0
20/07/2015,1710.0
16/07/2015,1720.0
14/07/2015,1730.0
13/07/2015,1720.0
09/07/2015,1750.0
08/07/2015,1745.0
07/07/2015,1770.0
06/07/2015,1770.0
02/07/2015,1770.0
01/07/2015,1770.0
30/06/2015,1785.0
29/06/2015,1780.0
25/06/2015,1780.0
24/06/2015,1805.0
23/06/2015,1790.0
22/06/2015,1780.0
18/06/2015,1780.0
17/06/2015,1780.0
16/06/2015,1740.0
15/06/2015,1740.0
11/06/2015,1760.0
10/06/2015,1775.0
09/06/2015,1775.0
08/06/2015,1770.0
04/06/2015,1790.0
03/06/2015,1790.0
01/06/2015,1710.0
28/05/2015,1725.0
27/05/2015,1735.0
26/05/2015,1740.0
21/05/2015,1751.0
20/05/2015,1735.0
19/05/2015,1750.0
18/05/2015,1860.0
14/05/2015,1780.0
13/05/2015,1810.0
11/05/2015,1820.0
07/05/2015,1840.0
06/05/2015,1830.0
05/05/2015,1810.0
30/04/2015,1810.0
29/04/2015,1801.0
28/04/2015,1790.0
23/04/2015,1810.0
22/04/2015,1810.0
21/04/2015,1810.0
20/04/2015,1780.0
16/04/2015,1825.0
15/04/2015,1800.0
14/04/2015,1805.0
09/04/2015,1780.0
08/04/2015,1790.0
07/04/2015,1785.0
01/04/2015,1770.0
31/03/2015,1760.0
30/03/2015,1750.0
26/03/2015,1730.0
25/03/2015,1730.0
24/03/2015,1730.0
23/03/2015,1710.0
19/03/2015,1750.0
18/03/2015,1735.0
17/03/2015,1740.0
16/03/2015,1720.0
12/03/2015,1795.0
11/03/2015,1800.0
10/03/2015,1805.0
06/03/2017,1705.5
02/03/2017,1681.0
01/03/2017,1666.0
28/02/2017,1636.0
27/02/2017,1636.0
23/02/2017,1644.0
22/02/2017,1648.5
21/02/2017,1633.5
20/02/2017,1643.5
17/02/2017,1648.0
15/02/2017,1648.0
14/02/2017,1643.0
13/02/2017,1642.0
09/02/2017,1641.5
08/02/2017,1600.75
07/02/2017,1600.5
06/02/2017,1590.75
02/02/2017,1590.25
01/02/2017,1589.5
31/01/2017,1589.5
30/01/2017,1589.0
26/01/2017,1603.5
25/01/2017,1605.25
24/01/2017,1600.25
19/01/2017,1585.25
18/01/2017,1579.5
17/01/2017,1579.25
16/01/2017,1594.0
13/01/2017,1599.25
11/01/2017,1578.5
10/01/2017,1588.25
09/01/2017,1548.0
05/01/2017,1542.5
04/01/2017,1541.5
03/01/2017,1541.0
29/12/2016,1546.0
28/12/2016,1545.5
22/12/2016,1546.0
21/12/2016,1545.0
20/12/2016,1545.0
19/12/2016,1545.0
15/12/2016,1565.25
14/12/2016,1564.0
13/12/2016,1563.5
12/12/2016,1563.0
08/12/2016,1558.0
07/12/2016,1522.0
06/12/2016,1551.5
01/12/2016,1560.0
30/11/2016,1559.0
29/11/2016,1564.0
28/11/2016,1564.0
24/11/2016,1569.0
23/11/2016,1578.0
21/11/2016,1537.5
17/11/2016,1530.0
16/11/2016,1529.0
15/11/2016,1546.0
14/11/2016,1561.0
10/11/2016,1562.5
08/11/2016,1566.5
07/11/2016,1561.25
03/11/2016,1561.75
02/11/2016,1561.0
01/11/2016,1566.0
31/10/2016,1571.0
27/10/2016,1551.5
26/10/2016,1531.0
25/10/2016,1546.5
24/10/2016,1541.5
20/10/2016,1536.5
19/10/2016,1546.0
17/10/2016,1531.25
13/10/2016,1571.0
12/10/2016,1570.0
11/10/2016,1569.5
10/10/2016,1569.5
07/10/2016,1570.0
05/10/2016,1569.0
04/10/2016,1569.0
03/10/2016,1568.5
29/09/2016,1568.5
28/09/2016,1563.0
27/09/2016,1562.75
26/09/2016,1562.5
22/09/2016,1563.0
21/09/2016,1552.5
20/09/2016,1557.25
19/09/2016,1562.25
15/09/2016,1562.0
14/09/2016,1561.0
13/09/2016,1560.75
12/09/2016,1560.5
08/09/2016,1565.5
07/09/2016,1564.5
06/09/2016,1564.0
02/09/2016,1575.0
31/08/2016,1578.75
30/08/2016,1579.25
