,Date,variable,value
0,31/12/2015,aluminium (EUR),
1,30/12/2015,aluminium (EUR),1536.4
2,24/12/2015,aluminium (EUR),1507.8700000000001
3,23/12/2015,aluminium (EUR),1524.44
4,21/12/2015,aluminium (EUR),1481.2
5,18/12/2015,aluminium (EUR),1476.6000000000001
6,17/12/2015,aluminium (EUR),1467.4
7,16/12/2015,aluminium (EUR),1474.3
8,15/12/2015,aluminium (EUR),1442.3500000000001
9,11/12/2015,aluminium (EUR),1460.55
10,10/12/2015,aluminium (EUR),1460.55
11,09/12/2015,aluminium (EUR),1433.25
12,08/12/2015,aluminium (EUR),1449.0
13,03/12/2015,aluminium (EUR),1460.55
14,02/12/2015,aluminium (EUR),1508.6999999999998
15,27/11/2015,aluminium (EUR),1508.6999999999998
16,26/11/2015,aluminium (EUR),1518.1
17,25/11/2015,aluminium (EUR),
18,24/11/2015,aluminium (EUR),1489.8999999999999
19,20/11/2015,aluminium (EUR),1485.1999999999998
20,19/11/2015,aluminium (EUR),1474.0500000000002
21,18/11/2015,aluminium (EUR),1504.0
22,16/11/2015,aluminium (EUR),1494.6
23,13/11/2015,aluminium (EUR),1483.3500000000001
24,10/11/2015,aluminium (EUR),1455.45
25,09/11/2015,aluminium (EUR),1478.7
26,06/11/2015,aluminium (EUR),1469.4
27,05/11/2015,aluminium (EUR),1481.2
28,04/11/2015,aluminium (EUR),1485.8
29,03/11/2015,aluminium (EUR),1469.65
30,02/11/2015,aluminium (EUR),1469.65
31,30/10/2015,aluminium (EUR),1469.65
32,29/10/2015,aluminium (EUR),1496.95
33,28/10/2015,aluminium (EUR),1513.4
34,27/10/2015,aluminium (EUR),1515.15
35,23/10/2015,aluminium (EUR),1510.6000000000001
36,22/10/2015,aluminium (EUR),1494.0
37,21/10/2015,aluminium (EUR),
38,20/10/2015,aluminium (EUR),1469.6
39,19/10/2015,aluminium (EUR),1469.6
40,16/10/2015,aluminium (EUR),1482.8
41,15/10/2015,aluminium (EUR),1491.6
42,14/10/2015,aluminium (EUR),1474.65
43,13/10/2015,aluminium (EUR),1491.6
44,12/10/2015,aluminium (EUR),1491.6
45,09/10/2015,aluminium (EUR),1491.6
46,08/10/2015,aluminium (EUR),1499.65
47,07/10/2015,aluminium (EUR),1501.875
48,05/10/2015,aluminium (EUR),1504.1
49,02/10/2015,aluminium (EUR),1517.45
50,01/10/2015,aluminium (EUR),1526.3500000000001
51,30/09/2015,aluminium (EUR),1525.5
52,29/09/2015,aluminium (EUR),1508.55
53,28/09/2015,aluminium (EUR),1508.55
54,25/09/2015,aluminium (EUR),1508.55
55,24/09/2015,aluminium (EUR),1525.5
56,23/09/2015,aluminium (EUR),1513.0
57,22/09/2015,aluminium (EUR),1530.0
58,21/09/2015,aluminium (EUR),1526.3500000000001
59,18/09/2015,aluminium (EUR),1509.2
60,17/09/2015,aluminium (EUR),1509.2
61,16/09/2015,aluminium (EUR),
62,15/09/2015,aluminium (EUR),1526.3500000000001
63,14/09/2015,aluminium (EUR),1500.4
64,11/09/2015,aluminium (EUR),1504.8
65,10/09/2015,aluminium (EUR),1521.9
66,09/09/2015,aluminium (EUR),1526.3500000000001
67,08/09/2015,aluminium (EUR),1504.1
68,07/09/2015,aluminium (EUR),1516.5
69,04/09/2015,aluminium (EUR),1530.0
70,03/09/2015,aluminium (EUR),1534.5
71,02/09/2015,aluminium (EUR),1495.2
72,28/08/2015,aluminium (EUR),1521.9
73,27/08/2015,aluminium (EUR),1521.9
74,26/08/2015,aluminium (EUR),1482.8
75,25/08/2015,aluminium (EUR),1479.0
76,24/08/2015,aluminium (EUR),1457.7
77,21/08/2015,aluminium (EUR),1474.0
78,20/08/2015,aluminium (EUR),1495.2
79,19/08/2015,aluminium (EUR),1512.0
80,18/08/2015,aluminium (EUR),1542.45
81,17/08/2015,aluminium (EUR),1525.5
82,14/08/2015,aluminium (EUR),1530.0
83,13/08/2015,aluminium (EUR),1525.5
84,12/08/2015,aluminium (EUR),
85,11/08/2015,aluminium (EUR),1542.45
86,10/08/2015,aluminium (EUR),1537.9
87,07/08/2015,aluminium (EUR),1533.3500000000001
88,06/08/2015,aluminium (EUR),1545.6000000000001
89,05/08/2015,aluminium (EUR),1545.6000000000001
90,04/08/2015,aluminium (EUR),1541.0
91,03/08/2015,aluminium (EUR),1519.7
92,31/07/2015,aluminium (EUR),1547.0
93,30/07/2015,aluminium (EUR),1547.0
94,29/07/2015,aluminium (EUR),1565.2
95,28/07/2015,aluminium (EUR),1548.0
96,24/07/2015,aluminium (EUR),1560.65
97,23/07/2015,aluminium (EUR),1556.1000000000001
98,22/07/2015,aluminium (EUR),1587.0
99,21/07/2015,aluminium (EUR),1569.75
100,20/07/2015,aluminium (EUR),1596.2
101,17/07/2015,aluminium (EUR),1591.6000000000001
102,16/07/2015,aluminium (EUR),1591.6000000000001
103,15/07/2015,aluminium (EUR),1578.8500000000001
104,14/07/2015,aluminium (EUR),1583.4
105,13/07/2015,aluminium (EUR),1583.4
106,10/07/2015,aluminium (EUR),1593.0
107,09/07/2015,aluminium (EUR),1610.7
108,08/07/2015,aluminium (EUR),
109,07/07/2015,aluminium (EUR),1619.8
110,06/07/2015,aluminium (EUR),1602.0
111,03/07/2015,aluminium (EUR),1602.0
112,02/07/2015,aluminium (EUR),1602.0
113,01/07/2015,aluminium (EUR),1602.0
114,30/06/2015,aluminium (EUR),1602.0
115,29/06/2015,aluminium (EUR),1597.55
116,26/06/2015,aluminium (EUR),1615.5
117,25/06/2015,aluminium (EUR),1597.55
118,24/06/2015,aluminium (EUR),1602.0
119,23/06/2015,aluminium (EUR),1615.5
120,19/06/2015,aluminium (EUR),1570.8
121,18/06/2015,aluminium (EUR),1562.0
122,17/06/2015,aluminium (EUR),1562.0
123,16/06/2015,aluminium (EUR),1566.4
124,15/06/2015,aluminium (EUR),1557.5
125,12/06/2015,aluminium (EUR),1597.55
126,11/06/2015,aluminium (EUR),1579.75
127,10/06/2015,aluminium (EUR),1570.8
128,09/06/2015,aluminium (EUR),1593.1000000000001
129,05/06/2015,aluminium (EUR),1575.0
130,04/06/2015,aluminium (EUR),1575.3
131,03/06/2015,aluminium (EUR),
132,02/06/2015,aluminium (EUR),1525.5
133,01/06/2015,aluminium (EUR),1587.0
134,29/05/2015,aluminium (EUR),1587.0
135,28/05/2015,aluminium (EUR),1578.8500000000001
136,27/05/2015,aluminium (EUR),1596.2
137,26/05/2015,aluminium (EUR),1605.4
138,22/05/2015,aluminium (EUR),1578.8500000000001
139,21/05/2015,aluminium (EUR),1570.5
140,20/05/2015,aluminium (EUR),1579.5
141,19/05/2015,aluminium (EUR),1579.5
142,18/05/2015,aluminium (EUR),1544.4
143,15/05/2015,aluminium (EUR),1535.6
144,12/05/2015,aluminium (EUR),1615.3500000000001
145,11/05/2015,aluminium (EUR),1638.0
146,08/05/2015,aluminium (EUR),1588.65
147,07/05/2015,aluminium (EUR),1633.15
148,06/05/2015,aluminium (EUR),1614.8
149,05/05/2015,aluminium (EUR),1628.7
150,01/05/2015,aluminium (EUR),1606.45
151,30/04/2015,aluminium (EUR),1606.45
152,29/04/2015,aluminium (EUR),
153,27/04/2015,aluminium (EUR),1665.2
154,24/04/2015,aluminium (EUR),1665.2
155,23/04/2015,aluminium (EUR),1669.8000000000002
156,22/04/2015,aluminium (EUR),1697.25
157,21/04/2015,aluminium (EUR),1687.95
158,20/04/2015,aluminium (EUR),1664.7
159,17/04/2015,aluminium (EUR),1683.3000000000002
160,16/04/2015,aluminium (EUR),1692.6000000000001
161,15/04/2015,aluminium (EUR),1696.6999999999998
162,14/04/2015,aluminium (EUR),1687.3
