,variable,Date,value
0,Brent (EUR/barrel),2015-01-31,45.93
1,Brent (EUR/barrel),2015-02-28,45.93
2,Brent (EUR/barrel),2015-03-31,45.93
3,Brent (EUR/barrel),2015-04-30,45.93
4,Brent (EUR/barrel),2015-05-31,45.93
5,Brent (EUR/barrel),2015-06-30,45.93
6,Brent (EUR/barrel),2015-07-31,45.93
7,Brent (EUR/barrel),2015-08-31,45.93
8,Brent (EUR/barrel),2015-09-30,45.93
9,Brent (EUR/barrel),2015-10-31,45.93
10,Brent (EUR/barrel),2015-11-30,45.93
11,Brent (EUR/barrel),2015-12-31,45.93
12,Brent (EUR/barrel),2016-01-31,45.93
13,Brent (EUR/barrel),2016-02-29,45.93
14,Brent (EUR/barrel),2016-03-31,45.93
15,Brent (EUR/barrel),2016-04-30,45.93
16,Brent (EUR/barrel),2016-05-31,45.93
17,Brent (EUR/barrel),2016-06-30,45.93
18,Brent (EUR/barrel),2016-07-31,45.93
19,Brent (EUR/barrel),2016-08-31,45.93
20,Brent (EUR/barrel),2016-09-30,45.93
21,Brent (EUR/barrel),2016-10-31,45.93
22,Brent (EUR/barrel),2016-11-30,45.93
23,Brent (EUR/barrel),2016-12-31,45.93
24,Brent (EUR/barrel),2017-01-31,45.93
25,Brent (EUR/barrel),2017-02-28,45.93
26,Brent (EUR/barrel),2017-03-31,45.93
27,Brent (EUR/barrel),2017-04-30,45.93
28,Brent (EUR/barrel),2017-05-31,45.93
29,Brent (EUR/barrel),2017-06-30,41.05
30,Brent (EUR/barrel),2017-07-31,42.09
31,Brent (EUR/barrel),2017-08-31,43.84
32,Brent (EUR/barrel),2017-09-30,47.27
33,Brent (EUR/barrel),2017-10-31,49.02
34,Brent (EUR/barrel),2017-11-30,53.5
35,Brent (EUR/barrel),2017-12-31,54.34
36,Brent (EUR/barrel),2018-01-31,56.8
37,Brent (EUR/barrel),2018-02-28,53.06
38,Brent (EUR/barrel),2018-03-31,53.12
39,Brent (EUR/barrel),2018-04-30,58.9
40,Brent (EUR/barrel),2018-05-31,65.36
41,Brent (EUR/barrel),2018-06-30,63.62
42,Brent (EUR/barrel),2018-07-31,63.57
43,Brent (EUR/barrel),2018-08-31,62.46
44,Brent (EUR/barrel),2018-09-30,67.67
45,Brent (EUR/barrel),2018-10-31,70.41
46,Brent (EUR/barrel),2018-11-30,57.1
47,Brent (EUR/barrel),2018-12-31,50.85
48,Brent (EUR/barrel),2019-01-31,52.18
49,Brent (EUR/barrel),2019-02-28,56.33
50,Brent (EUR/barrel),2019-03-31,58.4
51,Brent (EUR/barrel),2019-04-30,63.73
52,Brent (EUR/barrel),2019-05-31,63.86
53,Brent (EUR/barrel),2019-06-30,56.73
54,Brent (EUR/barrel),2019-07-31,57.15
55,Brent (EUR/barrel),2019-08-31,53.1
56,Brent (EUR/barrel),2019-09-30,56.87
57,Brent (EUR/barrel),2019-10-31,53.89
58,Brent (EUR/barrel),2019-11-30,57.21
59,Brent (EUR/barrel),2019-12-31,59.96
60,Brent (EUR/barrel),2020-01-31,57.23
61,Brent (EUR/barrel),2020-02-29,51.02
62,Brent (EUR/barrel),2020-03-31,30.39
63,Brent (EUR/barrel),2020-04-30,16.52
64,Brent (EUR/barrel),2020-05-31,27.63
65,Brent (EUR/barrel),2020-06-30,35.79
66,Brent (EUR/barrel),2020-07-31,37.7
67,Brent (EUR/barrel),2020-08-31,37.84
68,Brent (EUR/barrel),2020-09-30,34.68
69,Brent (EUR/barrel),2020-10-31,34.29
70,Brent (EUR/barrel),2020-11-30,35.93
71,Brent (EUR/barrel),2020-12-31,40.86
72,Brent (EUR/barrel),2021-01-31,45.04
73,Brent (EUR/barrel),2021-02-28,51.28
74,Brent (EUR/barrel),2021-03-31,54.76
