,fuel all EUR/L
01/01/2015,1.141
02/01/2015,1.141
03/01/2015,1.141
04/01/2015,1.141
05/01/2015,1.141
06/01/2015,1.141
07/01/2015,1.141
08/01/2015,1.141
09/01/2015,1.141
10/01/2015,1.141
11/01/2015,1.141
12/01/2015,1.141
13/01/2015,1.141
14/01/2015,1.141
15/01/2015,1.141
16/01/2015,1.141
17/01/2015,1.141
18/01/2015,1.141
19/01/2015,1.141
20/01/2015,1.141
21/01/2015,1.141
22/01/2015,1.141
23/01/2015,1.141
24/01/2015,1.141
25/01/2015,1.141
26/01/2015,1.141
27/01/2015,1.141
28/01/2015,1.141
29/01/2015,1.141
30/01/2015,1.141
01/02/2015,1.198
02/02/2015,1.198
03/02/2015,1.198
04/02/2015,1.198
05/02/2015,1.198
06/02/2015,1.198
07/02/2015,1.198
08/02/2015,1.198
09/02/2015,1.198
10/02/2015,1.198
11/02/2015,1.198
12/02/2015,1.198
13/02/2015,1.198
14/02/2015,1.198
15/02/2015,1.198
16/02/2015,1.198
17/02/2015,1.198
18/02/2015,1.198
19/02/2015,1.198
20/02/2015,1.198
21/02/2015,1.198
22/02/2015,1.198
23/02/2015,1.198
24/02/2015,1.198
25/02/2015,1.198
26/02/2015,1.198
27/02/2015,1.198
28/02/2015,1.198
29/02/2015,1.198
30/02/2015,1.198
01/03/2015,1.223
02/03/2015,1.223
03/03/2015,1.223
04/03/2015,1.223
05/03/2015,1.223
06/03/2015,1.223
07/03/2015,1.223
08/03/2015,1.223
09/03/2015,1.223
10/03/2015,1.223
11/03/2015,1.223
12/03/2015,1.223
13/03/2015,1.223
14/03/2015,1.223
15/03/2015,1.223
16/03/2015,1.223
17/03/2015,1.223
18/03/2015,1.223
19/03/2015,1.223
20/03/2015,1.223
21/03/2015,1.223
22/03/2015,1.223
23/03/2015,1.223
24/03/2015,1.223
25/03/2015,1.223
26/03/2015,1.223
27/03/2015,1.223
28/03/2015,1.223
29/03/2015,1.223
30/03/2015,1.223
01/04/2015,1.232
02/04/2015,1.232
03/04/2015,1.232
04/04/2015,1.232
05/04/2015,1.232
06/04/2015,1.232
07/04/2015,1.232
08/04/2015,1.232
09/04/2015,1.232
10/04/2015,1.232
11/04/2015,1.232
12/04/2015,1.232
13/04/2015,1.232
14/04/2015,1.232
15/04/2015,1.232
16/04/2015,1.232
17/04/2015,1.232
18/04/2015,1.232
19/04/2015,1.232
20/04/2015,1.232
21/04/2015,1.232
22/04/2015,1.232
23/04/2015,1.232
24/04/2015,1.232
25/04/2015,1.232
26/04/2015,1.232
27/04/2015,1.232
28/04/2015,1.232
29/04/2015,1.232
30/04/2015,1.232
01/05/2015,1.267
02/05/2015,1.267
03/05/2015,1.267
04/05/2015,1.267
05/05/2015,1.267
06/05/2015,1.267
07/05/2015,1.267
08/05/2015,1.267
09/05/2015,1.267
10/05/2015,1.267
11/05/2015,1.267
12/05/2015,1.267
13/05/2015,1.267
14/05/2015,1.267
15/05/2015,1.267
16/05/2015,1.267
17/05/2015,1.267
18/05/2015,1.267
19/05/2015,1.267
20/05/2015,1.267
21/05/2015,1.267
22/05/2015,1.267
23/05/2015,1.267
24/05/2015,1.267
25/05/2015,1.267
26/05/2015,1.267
27/05/2015,1.267
28/05/2015,1.267
29/05/2015,1.267
30/05/2015,1.267
01/06/2015,1.246
02/06/2015,1.246
03/06/2015,1.246
04/06/2015,1.246
05/06/2015,1.246
06/06/2015,1.246
07/06/2015,1.246
08/06/2015,1.246
09/06/2015,1.246
10/06/2015,1.246
11/06/2015,1.246
12/06/2015,1.246
13/06/2015,1.246
14/06/2015,1.246
15/06/2015,1.246
16/06/2015,1.246
17/06/2015,1.246
18/06/2015,1.246
19/06/2015,1.246
20/06/2015,1.246
21/06/2015,1.246
22/06/2015,1.246
23/06/2015,1.246
24/06/2015,1.246
25/06/2015,1.246
26/06/2015,1.246
27/06/2015,1.246
28/06/2015,1.246
29/06/2015,1.246
30/06/2015,1.246
01/07/2015,1.214
02/07/2015,1.214
03/07/2015,1.214
04/07/2015,1.214
05/07/2015,1.214
06/07/2015,1.214
07/07/2015,1.214
08/07/2015,1.214
09/07/2015,1.214
10/07/2015,1.214
11/07/2015,1.214
12/07/2015,1.214
13/07/2015,1.214
14/07/2015,1.214
15/07/2015,1.214
16/07/2015,1.214
17/07/2015,1.214
18/07/2015,1.214
19/07/2015,1.214
20/07/2015,1.214
21/07/2015,1.214
22/07/2015,1.214
23/07/2015,1.214
24/07/2015,1.214
25/07/2015,1.214
26/07/2015,1.214
27/07/2015,1.214
28/07/2015,1.214
29/07/2015,1.214
30/07/2015,1.214
01/08/2015,1.157
02/08/2015,1.157
03/08/2015,1.157
04/08/2015,1.157
05/08/2015,1.157
06/08/2015,1.157
07/08/2015,1.157
08/08/2015,1.157
09/08/2015,1.157
10/08/2015,1.157
11/08/2015,1.157
12/08/2015,1.157
13/08/2015,1.157
14/08/2015,1.157
15/08/2015,1.157
16/08/2015,1.157
17/08/2015,1.157
18/08/2015,1.157
19/08/2015,1.157
20/08/2015,1.157
21/08/2015,1.157
22/08/2015,1.157
23/08/2015,1.157
24/08/2015,1.157
25/08/2015,1.157
26/08/2015,1.157
27/08/2015,1.157
28/08/2015,1.157
29/08/2015,1.157
30/08/2015,1.157
01/09/2015,1.152
02/09/2015,1.152
03/09/2015,1.152
04/09/2015,1.152
05/09/2015,1.152
06/09/2015,1.152
