,coils EUR/ton
6/2017,734.0
7/2017,701.0
8/2017,699.0
9/2017,724.0
10/2017,729.0
11/2017,727.0
12/2017,726.0
1/2018,737.0
2/2018,761.0
3/2018,768.0
4/2018,781.0
5/2018,773.0
6/2018,763.0
7/2018,763.0
8/2018,763.0
9/2018,774.0
10/2018,760.0
11/2018,745.0
12/2018,731.0
1/2019,712.0
2/2019,698.0
3/2019,701.0
4/2019,699.0
5/2019,685.0
6/2019,679.0
7/2019,677.0
8/2019,667.0
9/2019,666.0
10/2019,653.0
11/2019,635.0
12/2019,637.0
1/2020,655.0
2/2020,673.0
3/2020,680.0
4/2020,683.0
5/2020,660.0
6/2020,627.0
7/2020,615.0
8/2020,626.0
9/2020,663.0
10/2020,687.0
11/2020,713.0
12/2020,777.0
1/2021,890.0
2/2021,932.0
3/2021,966.0
4/2021,1116.0
5/2021,1271.0
6/2021,1376.0
7/2021,1384.0
8/2021,1391.0
9/2021,1383.0
10/2021,1334.0
11/2021,1251.0
12/2021,1190.0
1/2022,1170.0
2/2022,1173.0
3/2022,1408.0
4/2022,1614.0
5/2022,1426.0
6/2022,1285.0
7/2022,1270.0
8/2022,1270.0
9/2022,1305.0
10/2022,1325.0
11/2022,1300.0
12/2022,1275.0
1/2023,1255.0
2/2023,1255.0
3/2023,1280.0
4/2023,1305.0
5/2023,1305.0
