,copper
04/03/2016,4997.5
03/03/2016,4823.0
02/03/2016,4769.0
01/03/2016,4698.5
29/02/2016,4678.0
26/02/2016,4693.0
25/02/2016,4589.5
24/02/2016,4634.0
23/02/2016,4640.5
22/02/2016,4689.5
19/02/2016,4617.25
18/02/2016,4569.75
17/02/2016,4589.75
16/02/2016,4548.5
15/02/2016,4547.0
12/02/2016,4484.5
11/02/2016,4428.25
10/02/2016,4426.25
09/02/2016,4495.5
08/02/2016,4597.75
05/02/2016,4615.25
04/02/2016,4669.25
03/02/2016,4620.5
02/02/2016,4535.25
29/01/2016,4544.0
28/01/2016,4510.0
27/01/2016,4572.0
26/01/2016,4518.25
25/01/2016,4407.25
22/01/2016,4427.0
21/01/2016,4420.0
20/01/2016,4351.0
19/01/2016,4395.0
18/01/2016,4370.5
15/01/2016,4325.0
14/01/2016,4404.5
13/01/2016,4384.5
12/01/2016,4350.0
11/01/2016,4382.5
08/01/2016,4473.0
07/01/2016,4512.0
06/01/2016,4611.0
05/01/2016,4641.0
04/01/2016,4606.5
31/12/2015,4697.0
30/12/2015,4723.0
24/12/2015,4678.5
23/12/2015,4716.0
18/12/2015,4682.25
17/12/2015,4546.0
16/12/2015,4618.0
15/12/2015,4574.5
11/12/2015,4703.75
10/12/2015,4588.25
09/12/2015,4575.75
08/12/2015,4584.25
03/12/2015,4554.0
02/12/2015,4563.0
27/11/2015,4565.5
26/11/2015,4626.5
25/11/2015,4544.75
24/11/2015,4601.5
20/11/2015,4569.0
19/11/2015,4625.5
18/11/2015,4609.25
16/11/2015,4695.0
13/11/2015,4825.5
11/11/2015,4932.5
10/11/2015,4912.5
09/11/2015,4956.25
06/11/2015,4977.0
05/11/2015,4993.5
03/11/2015,5099.5
02/11/2015,5100.25
30/10/2015,5084.25
29/10/2015,5103.75
28/10/2015,5178.0
27/10/2015,5190.25
23/10/2015,5149.75
22/10/2015,5202.5
21/10/2015,5141.75
20/10/2015,5170.0
19/10/2015,5173.5
16/10/2015,5244.5
15/10/2015,5266.5
14/10/2015,5251.0
13/10/2015,5241.0
12/10/2015,5290.0
09/10/2015,5266.5
08/10/2015,5117.0
07/10/2015,5172.5
06/10/2015,5171.5
05/10/2015,5162.75
02/10/2015,5088.25
01/10/2015,5083.0
30/09/2015,5143.0
28/09/2015,4954.0
25/09/2015,5012.0
24/09/2015,5049.5
23/09/2015,5054.5
22/09/2015,5071.0
