,aluminium (USD)
04/03/2016,1642.5
03/03/2016,1642.5
02/03/2016,1603.0
01/03/2016,1588.0
29/02/2016,1635.0
26/02/2016,1636.0
25/02/2016,1631.0
24/02/2016,1631.5
23/02/2016,1636.5
22/02/2016,1641.5
19/02/2016,1642.5
18/02/2016,1642.5
17/02/2016,1642.75
16/02/2016,1643.0
15/02/2016,1643.0
12/02/2016,1679.0
11/02/2016,1649.25
10/02/2016,1659.5
09/02/2016,1649.5
08/02/2016,1649.5
05/02/2016,1630.5
04/02/2016,1631.0
03/02/2016,1621.0
02/02/2016,1631.0
29/01/2016,1608.5
28/01/2016,1668.5
27/01/2016,1648.5
26/01/2016,1598.5
25/01/2016,1613.5
22/01/2016,1619.0
21/01/2016,1619.0
20/01/2016,1629.0
19/01/2016,1629.25
18/01/2016,1629.5
15/01/2016,1640.25
14/01/2016,1640.5
13/01/2016,1665.75
12/01/2016,1666.0
11/01/2016,1666.25
08/01/2016,1667.0
07/01/2016,1667.0
06/01/2016,1682.0
05/01/2016,1682.0
04/01/2016,1682.0
31/12/2015,1669.5
30/12/2015,1670.0
24/12/2015,1657.0
23/12/2015,1657.0
18/12/2015,1605.0
17/12/2015,1595.0
16/12/2015,1602.5
15/12/2015,1585.0
11/12/2015,1605.0
10/12/2015,1605.0
09/12/2015,1575.0
08/12/2015,1575.0
03/12/2015,1605.0
02/12/2015,1605.0
27/11/2015,1605.0
26/11/2015,1615.0
25/11/2015,1590.0
24/11/2015,1585.0
20/11/2015,1580.0
19/11/2015,1585.0
18/11/2015,1600.0
16/11/2015,1590.0
13/11/2015,1595.0
11/11/2015,1595.0
10/11/2015,1565.0
09/11/2015,1590.0
06/11/2015,1580.0
05/11/2015,1610.0
03/11/2015,1615.0
02/11/2015,1615.0
30/10/2015,1615.0
29/10/2015,1645.0
28/10/2015,1645.0
27/10/2015,1665.0
23/10/2015,1660.0
22/10/2015,1660.0
21/10/2015,1675.0
20/10/2015,1670.0
19/10/2015,1670.0
16/10/2015,1685.0
15/10/2015,1695.0
14/10/2015,1695.0
13/10/2015,1695.0
12/10/2015,1695.0
09/10/2015,1695.0
08/10/2015,1685.0
07/10/2015,1687.5
06/10/2015,1680.0
05/10/2015,1690.0
02/10/2015,1705.0
01/10/2015,1715.0
30/09/2015,1695.0
28/09/2015,1695.0
25/09/2015,1695.0
24/09/2015,1695.0
23/09/2015,1700.0
22/09/2015,1700.0
21/09/2015,1715.0
18/09/2015,1715.0
17/09/2015,1715.0
16/09/2015,1715.0
15/09/2015,1715.0
14/09/2015,1705.0
11/09/2015,1710.0
10/09/2015,1710.0
09/09/2015,1715.0
08/09/2015,1690.0
07/09/2015,1685.0
04/09/2015,1700.0
03/09/2015,1705.0
02/09/2015,1680.0
01/09/2015,1675.0
28/08/2015,1710.0
27/08/2015,1710.0
26/08/2015,1685.0
25/08/2015,1700.0
21/08/2015,1675.0
20/08/2015,1680.0
19/08/2015,1680.0
18/08/2015,1695.0
17/08/2015,1695.0
14/08/2015,1700.0
13/08/2015,1695.0
12/08/2015,1710.0
11/08/2015,1695.0
10/08/2015,1690.0
07/08/2015,1685.0
06/08/2015,1680.0
05/08/2015,1680.0
04/08/2015,1675.0
03/08/2015,1670.0
31/07/2015,1700.0
30/07/2015,1700.0
29/07/2015,1720.0
28/07/2015,1720.0
27/07/2015,1710.0
24/07/2015,1715.0
23/07/2015,1710.0
22/07/2015,1725.0
21/07/2015,1725.0
17/07/2015,1730.0
16/07/2015,1730.0
15/07/2015,1735.0
14/07/2015,1740.0
13/07/2015,1740.0
10/07/2015,1770.0
09/07/2015,1770.0
08/07/2015,1755.0
07/07/2015,1780.0
06/07/2015,1780.0
03/07/2015,1780.0
02/07/2015,1780.0
01/07/2015,1780.0
30/06/2015,1780.0
29/06/2015,1795.0
26/06/2015,1795.0
25/06/2015,1795.0
24/06/2015,1800.0
23/06/2015,1795.0
22/06/2015,1795.0
19/06/2015,1785.0
18/06/2015,1775.0
17/06/2015,1775.0
16/06/2015,1760.0
12/06/2015,1795.0
11/06/2015,1775.0
10/06/2015,1785.0
09/06/2015,1790.0
05/06/2015,1750.0
04/06/2015,1770.0
03/06/2015,1770.0
02/06/2015,1695.0
01/06/2015,1725.0
29/05/2015,1725.0
28/05/2015,1735.0
27/05/2015,1735.0
26/05/2015,1745.0
22/05/2015,1735.0
21/05/2015,1745.0
20/05/2015,1755.0
19/05/2015,1755.0
18/05/2015,1755.0
15/05/2015,1745.0
14/05/2015,1785.0
12/05/2015,1815.0
11/05/2015,1820.0
08/05/2015,1785.0
07/05/2015,1835.0
05/05/2015,1830.0
01/05/2015,1805.0
30/04/2015,1805.0
29/04/2015,1810.0
27/04/2015,1810.0
24/04/2015,1810.0
23/04/2015,1815.0
22/04/2015,1825.0
21/04/2015,1815.0
20/04/2015,1790.0
17/04/2015,1810.0
16/04/2015,1820.0
15/04/2015,1805.0
14/04/2015,1795.0
13/04/2015,1790.0
10/04/2015,1795.0
09/04/2015,1790.0
08/04/2015,1790.0
07/04/2015,1790.0
02/04/2015,1795.0
01/04/2015,1785.0
31/03/2015,1785.0
27/03/2015,1735.0
26/03/2015,1745.0
24/03/2015,1772.5
23/03/2015,1725.0
20/03/2015,1725.0
19/03/2015,1750.0
18/03/2015,1750.0
17/03/2015,1755.0
16/03/2015,1740.5
13/03/2015,1797.5
12/03/2015,1797.5
11/03/2015,1813.0
10/03/2015,1812.0
09/03/2015,1811.5
06/03/2017,1735.5
03/03/2017,1736.0
02/03/2017,1711.0
01/03/2017,1696.0
28/02/2017,1666.0
27/02/2017,1666.5
24/02/2017,1677.0
23/02/2017,1677.0
22/02/2017,1682.0
21/02/2017,1667.0
20/02/2017,1677.5
17/02/2017,1682.5
16/02/2017,1682.75
