,coils EUR/ton
01/06/2017,734.0
02/06/2017,734.0
03/06/2017,734.0
04/06/2017,734.0
05/06/2017,734.0
06/06/2017,734.0
07/06/2017,734.0
08/06/2017,734.0
09/06/2017,734.0
10/06/2017,734.0
11/06/2017,734.0
12/06/2017,734.0
13/06/2017,734.0
14/06/2017,734.0
15/06/2017,734.0
16/06/2017,734.0
17/06/2017,734.0
18/06/2017,734.0
19/06/2017,734.0
20/06/2017,734.0
21/06/2017,734.0
22/06/2017,734.0
23/06/2017,734.0
24/06/2017,734.0
25/06/2017,734.0
26/06/2017,734.0
27/06/2017,734.0
28/06/2017,734.0
29/06/2017,734.0
30/06/2017,734.0
31/06/2017,734.0
01/07/2017,701.0
02/07/2017,701.0
03/07/2017,701.0
04/07/2017,701.0
05/07/2017,701.0
06/07/2017,701.0
07/07/2017,701.0
08/07/2017,701.0
09/07/2017,701.0
10/07/2017,701.0
11/07/2017,701.0
12/07/2017,701.0
13/07/2017,701.0
14/07/2017,701.0
15/07/2017,701.0
16/07/2017,701.0
17/07/2017,701.0
18/07/2017,701.0
19/07/2017,701.0
20/07/2017,701.0
21/07/2017,701.0
22/07/2017,701.0
23/07/2017,701.0
24/07/2017,701.0
25/07/2017,701.0
26/07/2017,701.0
27/07/2017,701.0
28/07/2017,701.0
29/07/2017,701.0
30/07/2017,701.0
31/07/2017,701.0
01/08/2017,699.0
02/08/2017,699.0
03/08/2017,699.0
04/08/2017,699.0
05/08/2017,699.0
06/08/2017,699.0
07/08/2017,699.0
08/08/2017,699.0
09/08/2017,699.0
10/08/2017,699.0
11/08/2017,699.0
12/08/2017,699.0
13/08/2017,699.0
14/08/2017,699.0
15/08/2017,699.0
16/08/2017,699.0
17/08/2017,699.0
18/08/2017,699.0
19/08/2017,699.0
20/08/2017,699.0
21/08/2017,699.0
22/08/2017,699.0
23/08/2017,699.0
24/08/2017,699.0
25/08/2017,699.0
26/08/2017,699.0
27/08/2017,699.0
28/08/2017,699.0
29/08/2017,699.0
30/08/2017,699.0
31/08/2017,699.0
01/09/2017,724.0
02/09/2017,724.0
03/09/2017,724.0
04/09/2017,724.0
05/09/2017,724.0
06/09/2017,724.0
07/09/2017,724.0
08/09/2017,724.0
09/09/2017,724.0
10/09/2017,724.0
11/09/2017,724.0
12/09/2017,724.0
13/09/2017,724.0
14/09/2017,724.0
15/09/2017,724.0
16/09/2017,724.0
17/09/2017,724.0
18/09/2017,724.0
19/09/2017,724.0
20/09/2017,724.0
21/09/2017,724.0
22/09/2017,724.0
23/09/2017,724.0
24/09/2017,724.0
25/09/2017,724.0
26/09/2017,724.0
27/09/2017,724.0
28/09/2017,724.0
29/09/2017,724.0
30/09/2017,724.0
31/09/2017,724.0
01/10/2017,729.0
02/10/2017,729.0
03/10/2017,729.0
04/10/2017,729.0
05/10/2017,729.0
06/10/2017,729.0
07/10/2017,729.0
08/10/2017,729.0
09/10/2017,729.0
10/10/2017,729.0
