,variable,Year/Month,value
0,Brent (EUR/barrel),15/03,
1,Brent (EUR/barrel),15/04,
2,Brent (EUR/barrel),15/05,
3,Brent (EUR/barrel),15/06,
4,Brent (EUR/barrel),15/07,
5,Brent (EUR/barrel),15/08,
6,Brent (EUR/barrel),15/09,
7,Brent (EUR/barrel),15/10,
8,Brent (EUR/barrel),15/11,
9,Brent (EUR/barrel),15/12,
10,Brent (EUR/barrel),16/01,
11,Brent (EUR/barrel),16/02,
12,Brent (EUR/barrel),16/03,
13,Brent (EUR/barrel),16/04,
14,Brent (EUR/barrel),16/05,
15,Brent (EUR/barrel),16/06,
16,Brent (EUR/barrel),16/07,
17,Brent (EUR/barrel),16/08,
18,Brent (EUR/barrel),16/09,
19,Brent (EUR/barrel),16/10,
20,Brent (EUR/barrel),16/11,
21,Brent (EUR/barrel),16/12,
22,Brent (EUR/barrel),17/01,
23,Brent (EUR/barrel),17/02,
24,Brent (EUR/barrel),17/03,
25,Brent (EUR/barrel),17/04,
26,Brent (EUR/barrel),17/05,46.06
27,Brent (EUR/barrel),17/06,41.35
28,Brent (EUR/barrel),17/07,41.96
29,Brent (EUR/barrel),17/08,43.79
30,Brent (EUR/barrel),17/09,47.46
31,Brent (EUR/barrel),17/10,48.89
32,Brent (EUR/barrel),17/11,53.38
33,Brent (EUR/barrel),17/12,54.37
34,Brent (EUR/barrel),18/01,56.93
35,Brent (EUR/barrel),18/02,52.92
36,Brent (EUR/barrel),18/03,53.57
37,Brent (EUR/barrel),18/04,58.67
38,Brent (EUR/barrel),18/05,65.42
39,Brent (EUR/barrel),18/06,63.6
40,Brent (EUR/barrel),18/07,63.59
41,Brent (EUR/barrel),18/08,62.4
42,Brent (EUR/barrel),18/09,67.98
43,Brent (EUR/barrel),18/10,70.64
44,Brent (EUR/barrel),18/11,57.25
45,Brent (EUR/barrel),18/12,50.6
46,Brent (EUR/barrel),19/01,51.68
47,Brent (EUR/barrel),19/02,56.37
48,Brent (EUR/barrel),19/03,58.55
49,Brent (EUR/barrel),19/04,63.39
50,Brent (EUR/barrel),19/05,64.02
51,Brent (EUR/barrel),19/06,56.75
52,Brent (EUR/barrel),19/07,57.17
53,Brent (EUR/barrel),19/08,53.13
