,variable,Date,value
0,Brent (EUR/barrel),2015-01-31,46.82
1,Brent (EUR/barrel),2015-02-28,46.82
2,Brent (EUR/barrel),2015-03-31,46.82
3,Brent (EUR/barrel),2015-04-30,46.82
4,Brent (EUR/barrel),2015-05-31,46.82
5,Brent (EUR/barrel),2015-06-30,46.82
6,Brent (EUR/barrel),2015-07-31,46.82
7,Brent (EUR/barrel),2015-08-31,46.82
8,Brent (EUR/barrel),2015-09-30,46.82
9,Brent (EUR/barrel),2015-10-31,46.82
10,Brent (EUR/barrel),2015-11-30,46.82
11,Brent (EUR/barrel),2015-12-31,46.82
12,Brent (EUR/barrel),2016-01-31,46.82
13,Brent (EUR/barrel),2016-02-29,46.82
14,Brent (EUR/barrel),2016-03-31,46.82
15,Brent (EUR/barrel),2016-04-30,46.82
16,Brent (EUR/barrel),2016-05-31,46.82
17,Brent (EUR/barrel),2016-06-30,46.82
18,Brent (EUR/barrel),2016-07-31,46.82
19,Brent (EUR/barrel),2016-08-31,46.82
20,Brent (EUR/barrel),2016-09-30,46.82
21,Brent (EUR/barrel),2016-10-31,46.82
22,Brent (EUR/barrel),2016-11-30,46.82
23,Brent (EUR/barrel),2016-12-31,46.82
24,Brent (EUR/barrel),2017-01-31,46.82
25,Brent (EUR/barrel),2017-02-28,46.62
26,Brent (EUR/barrel),2017-03-31,45.12
27,Brent (EUR/barrel),2017-04-30,47.08
28,Brent (EUR/barrel),2017-05-31,45.41
29,Brent (EUR/barrel),2017-06-30,42.72
30,Brent (EUR/barrel),2017-07-31,43.5
31,Brent (EUR/barrel),2017-08-31,44.32
32,Brent (EUR/barrel),2017-09-30,48.1
33,Brent (EUR/barrel),2017-10-31,48.66
34,Brent (EUR/barrel),2017-11-30,51.05
35,Brent (EUR/barrel),2017-12-31,51.45
36,Brent (EUR/barrel),2018-01-31,58.44
37,Brent (EUR/barrel),2018-02-28,55.71
38,Brent (EUR/barrel),2018-03-31,57.59
39,Brent (EUR/barrel),2018-04-30,62.0
40,Brent (EUR/barrel),2018-05-31,63.41
41,Brent (EUR/barrel),2018-06-30,61.53
42,Brent (EUR/barrel),2018-07-31,60.85
43,Brent (EUR/barrel),2018-08-31,61.49
44,Brent (EUR/barrel),2018-09-30,66.37
45,Brent (EUR/barrel),2018-10-31,65.8
46,Brent (EUR/barrel),2018-11-30,57.55
47,Brent (EUR/barrel),2018-12-31,54.5
48,Brent (EUR/barrel),2019-01-31,54.92
49,Brent (EUR/barrel),2019-02-28,56.89
50,Brent (EUR/barrel),2019-03-31,57.37
51,Brent (EUR/barrel),2019-04-30,60.54
52,Brent (EUR/barrel),2019-05-31,60.88
53,Brent (EUR/barrel),2019-06-30,56.52
54,Brent (EUR/barrel),2019-07-31,56.28
55,Brent (EUR/barrel),2019-08-31,54.45
56,Brent (EUR/barrel),2019-09-30,58.31
57,Brent (EUR/barrel),2019-10-31,55.61
58,Brent (EUR/barrel),2019-11-30,58.16
59,Brent (EUR/barrel),2019-12-31,58.55
60,Brent (EUR/barrel),2020-01-31,47.74
61,Brent (EUR/barrel),2020-02-29,46.12
62,Brent (EUR/barrel),2020-03-31,26.87
63,Brent (EUR/barrel),2020-04-30,23.69
64,Brent (EUR/barrel),2020-05-31,33.07
65,Brent (EUR/barrel),2020-06-30,37.24
66,Brent (EUR/barrel),2020-07-31,37.85
67,Brent (EUR/barrel),2020-08-31,38.44
68,Brent (EUR/barrel),2020-09-30,36.64
69,Brent (EUR/barrel),2020-10-31,35.86
70,Brent (EUR/barrel),2020-11-30,36.68
71,Brent (EUR/barrel),2020-12-31,38.97
72,Brent (EUR/barrel),2021-01-31,50.56
73,Brent (EUR/barrel),2021-02-28,55.28
74,Brent (EUR/barrel),2021-03-31,55.12
75,Brent (EUR/barrel),2021-04-30,55.63
76,Brent (EUR/barrel),2021-05-31,56.38
77,Brent (EUR/barrel),2021-06-30,58.19
78,Brent (EUR/barrel),2021-07-31,62.21
79,Brent (EUR/barrel),2021-08-31,59.94
80,Brent (EUR/barrel),2021-09-30,64.17
81,Brent (EUR/barrel),2021-10-31,68.44
82,Brent (EUR/barrel),2021-11-30,66.35
83,Brent (EUR/barrel),2021-12-31,63.58
84,Brent (EUR/barrel),2022-01-31,80.79
85,Brent (EUR/barrel),2022-02-28,88.76
86,Brent (EUR/barrel),2022-03-31,101.74
87,Brent (EUR/barrel),2022-04-30,95.8
88,Brent (EUR/barrel),2022-05-31,100.98
89,Brent (EUR/barrel),2022-06-30,82.86
90,Brent (EUR/barrel),2022-07-31,88.24
91,Brent (EUR/barrel),2022-08-31,84.54
92,Brent (EUR/barrel),2022-09-30,96.6
93,Brent (EUR/barrel),2022-10-31,86.94
94,Brent (EUR/barrel),2022-11-30,102.32
95,Brent (EUR/barrel),2022-12-31,99.9
96,USD/EUROS,2015-01-31,0.9
97,USD/EUROS,2015-02-28,0.91
98,USD/EUROS,2015-03-31,0.92
99,USD/EUROS,2015-04-30,0.92
100,USD/EUROS,2015-05-31,0.9
101,USD/EUROS,2015-06-30,0.89
