,fuel fr EUR/L
01/01/2000,0.669
01/01/2001,0.672
01/01/2002,0.62
01/01/2003,0.686
01/01/2004,0.672
01/01/2005,0.7705
01/01/2006,0.8855
01/01/2007,0.8442
01/01/2008,1.0021
01/01/2009,0.822
01/01/2010,0.8986
01/01/2011,1.0683
01/01/2012,1.1783
01/01/2013,1.1527
01/01/2014,1.107
01/01/2015,0.9291
01/01/2016,0.8488
01/01/2017,1.0554
01/01/2018,1.1634
01/01/2019,1.1654
01/01/2020,1.2253
01/01/2021,1.0829
01/01/2022,1.3613
01/02/2000,0.671
01/02/2001,0.669
01/02/2002,0.62
01/02/2003,0.713
01/02/2004,0.671
01/02/2005,0.7833
01/02/2006,0.89
01/02/2007,0.8529
01/02/2008,1.0102
01/02/2009,0.805
01/02/2010,0.9054
01/02/2011,1.0932
01/02/2012,1.1867
01/02/2013,1.1754
01/02/2014,1.108
01/02/2015,0.9887
01/02/2016,0.8468
01/02/2017,1.0547
01/02/2018,1.1484
01/02/2019,1.1925
01/02/2020,1.1655
01/02/2021,1.1249
01/02/2022,1.4232
01/03/2000,0.683
01/03/2001,0.668
01/03/2002,0.635
01/03/2003,0.748
01/03/2004,0.698
01/03/2005,0.8327
01/03/2006,0.9048
01/03/2007,0.8712
01/03/2008,1.0593
01/03/2009,0.7906
01/03/2010,0.9361
01/03/2011,1.1374
01/03/2012,1.2084
01/03/2013,1.162
01/03/2014,1.0926
01/03/2015,1.0058
01/03/2016,0.8823
01/03/2017,1.0353
01/03/2018,1.1431
01/03/2019,1.2168
01/03/2020,1.0747
01/03/2021,1.1535
01/03/2022,1.6908
01/04/2000,0.672
01/04/2001,0.68
01/04/2002,0.653
01/04/2003,0.676
01/04/2004,0.708
01/04/2005,0.8455
01/04/2006,0.9285
01/04/2007,0.89
01/04/2008,1.0793
01/04/2009,0.8112
01/04/2010,0.9666
01/04/2011,1.1409
01/04/2012,1.1971
01/04/2013,1.1255
01/04/2014,1.0896
01/04/2015,1.0012
01/04/2016,0.8881
01/04/2017,1.037
01/04/2018,1.1685
01/04/2019,1.2249
01/04/2020,1.0126
01/04/2021,1.1453
01/04/2022,1.6915
01/05/2000,0.675
01/05/2001,0.684
01/05/2002,0.646
01/05/2003,0.636
01/05/2004,0.735
01/05/2005,0.8235
01/05/2006,0.93
01/05/2007,0.8925
01/05/2008,1.1681
01/05/2009,0.8111
01/05/2010,0.9752
01/05/2011,1.1051
01/05/2012,1.17
01/05/2013,1.1096
01/05/2014,1.0892
01/05/2015,1.0284
01/05/2016,0.9354
01/05/2017,1.0082
01/05/2018,1.2095
01/05/2019,1.2338
01/05/2020,0.9745
01/05/2021,1.159
01/05/2022,1.7241
01/06/2000,0.689
01/06/2001,0.689
01/06/2002,0.63
01/06/2003,0.631
01/06/2004,0.717
01/06/2005,0.8617
01/06/2006,0.9218
01/06/2007,0.9054
01/06/2008,1.2021
01/06/2009,0.8562
01/06/2010,0.9744
01/06/2011,1.1029
01/06/2012,1.1221
01/06/2013,1.107
01/06/2014,1.0915
01/06/2015,1.0123
01/06/2016,0.9645
01/06/2017,0.9835
01/06/2018,1.2199
01/06/2019,1.1822
01/06/2020,1.0097
01/06/2021,1.1791
01/06/2022,
01/07/2000,0.694
01/07/2001,0.674
01/07/2002,0.628
01/07/2003,0.635
01/07/2004,0.731
01/07/2005,0.8837
01/07/2006,0.9334
01/07/2007,0.9157
01/07/2008,1.1946
01/07/2009,0.8384
01/07/2010,0.9508
01/07/2011,1.1057
01/07/2012,1.1522
01/07/2013,1.122
01/07/2014,1.0864
01/07/2015,0.9772
01/07/2016,0.9333
01/07/2017,0.9789
01/07/2018,1.2043
01/07/2019,1.1836
01/07/2020,1.0329
01/07/2021,1.1996
01/07/2022,
01/08/2000,0.703
01/08/2001,0.665
01/08/2002,0.648
01/08/2003,0.644
01/08/2004,0.763
01/08/2005,0.8958
01/08/2006,0.9378
01/08/2007,0.9136
01/08/2008,1.1194
01/08/2009,0.8704
01/08/2010,0.9536
01/08/2011,1.096
01/08/2012,1.1933
01/08/2013,1.1306
01/08/2014,1.0826
01/08/2015,0.9313
01/08/2016,0.9171
01/08/2017,0.9979
01/08/2018,1.2092
01/08/2019,1.1789
01/08/2020,1.0286
01/08/2021,1.1934
01/08/2022,
01/09/2000,0.767
01/09/2001,0.671
01/09/2002,0.665
01/09/2003,0.637
01/09/2004,0.769
01/09/2005,0.9225
01/09/2006,0.8949
01/09/2007,0.9319
01/09/2008,1.0891
01/09/2009,0.8488
01/09/2010,0.9576
01/09/2011,1.1143
01/09/2012,1.1587
01/09/2013,1.1405
01/09/2014,1.0766
01/09/2015,0.9209
01/09/2016,0.9261
01/09/2017,1.0177
01/09/2018,1.2323
01/09/2019,1.198
01/09/2020,1.0038
01/09/2021,1.2064
01/09/2022,
01/010/2000,0.758
01/010/2001,0.662
01/010/2002,0.673
01/010/2003,0.651
01/010/2004,0.813
01/010/2005,0.9237
01/010/2006,0.8687
01/010/2007,0.9427
01/010/2008,1.0115
01/010/2009,0.8608
01/010/2010,0.9739
01/010/2011,1.1264
01/010/2012,1.1632
01/010/2013,1.111
01/010/2014,1.0492
01/010/2015,0.9175
01/010/2016,0.9655
01/010/2017,1.0337
01/010/2018,1.2684
01/010/2019,1.2011
01/010/2020,1.0016
01/010/2021,1.2834
01/010/2022,
01/011/2000,0.761
01/011/2001,0.634
01/011/2002,0.663
01/011/2003,0.657
01/011/2004,0.802
01/011/2005,0.8744
01/011/2006,0.8613
01/011/2007,1.01
01/011/2008,0.9282
01/011/2009,0.8769
01/011/2010,0.985
01/011/2011,1.1525
01/011/2012,1.1436
01/011/2013,1.101
01/011/2014,1.0263
01/011/2015,0.9168
01/011/2016,0.9545
01/011/2017,1.0595
01/011/2018,1.2248
01/011/2019,1.2013
01/011/2020,1.0136
01/011/2021,1.2951
01/011/2022,
01/012/2000,0.729
01/012/2001,0.622
01/012/2002,0.673
01/012/2003,0.654
01/012/2004,0.791
01/012/2005,0.8645
01/012/2006,0.8599
01/012/2007,1.0063
01/012/2008,0.8318
01/012/2009,0.8706
01/012/2010,1.0237
01/012/2011,1.1462
01/012/2012,1.1309
01/012/2013,1.1128
01/012/2014,0.9465
01/012/2015,0.8594
01/012/2016,0.9959
01/012/2017,1.0652
01/012/2018,1.1784
01/012/2019,1.2187
01/012/2020,1.0475
01/012/2021,1.2724
01/012/2022,
