,Month/Year,variable,value
0,01/20,Brent (EUR/barrel),56.6
1,01/20,USD/EUROS,0.88
2,01/20,aluminium (EUR),1521.41
3,01/20,beams EUR/ton,717.91
4,01/20,coils EUR/ton,816.32
5,01/20,copper,6529.06
6,01/20,fuel all EUR/L,1.23
7,01/20,fuel fr EUR/L,1.11
8,02/20,Brent (EUR/barrel),59.77
9,02/20,USD/EUROS,0.88
10,02/20,aluminium (EUR),1601.07
11,02/20,beams EUR/ton,733.6
12,02/20,coils EUR/ton,847.4
13,02/20,copper,6720.65
14,02/20,fuel all EUR/L,1.25
15,02/20,fuel fr EUR/L,1.12
16,03/20,Brent (EUR/barrel),60.33
17,03/20,USD/EUROS,0.89
18,03/20,aluminium (EUR),1649.51
19,03/20,beams EUR/ton,773.94
20,03/20,coils EUR/ton,912.34
21,03/20,copper,6728.92
22,03/20,fuel all EUR/L,1.3
23,03/20,fuel fr EUR/L,1.14
24,04/20,Brent (EUR/barrel),56.85
25,04/20,USD/EUROS,0.89
26,04/20,aluminium (EUR),1573.99
27,04/20,beams EUR/ton,795.0
28,04/20,coils EUR/ton,961.55
29,04/20,copper,6659.63
30,04/20,fuel all EUR/L,1.27
31,04/20,fuel fr EUR/L,1.12
32,05/20,Brent (EUR/barrel),62.3
33,05/20,USD/EUROS,0.89
34,05/20,aluminium (EUR),1516.29
35,05/20,beams EUR/ton,836.69
36,05/20,coils EUR/ton,975.61
37,05/20,copper,6743.33
38,05/20,fuel all EUR/L,1.31
39,05/20,fuel fr EUR/L,1.16
40,06/20,Brent (EUR/barrel),48.33
41,06/20,USD/EUROS,0.89
42,06/20,aluminium (EUR),1378.69
43,06/20,beams EUR/ton,623.18
44,06/20,coils EUR/ton,733.93
45,06/20,copper,5934.69
46,06/20,fuel all EUR/L,1.21
47,06/20,fuel fr EUR/L,1.05
48,07/20,Brent (EUR/barrel),50.81
49,07/20,USD/EUROS,0.88
50,07/20,aluminium (EUR),1400.68
51,07/20,beams EUR/ton,612.97
52,07/20,coils EUR/ton,742.77
53,07/20,copper,6018.19
54,07/20,fuel all EUR/L,1.19
55,07/20,fuel fr EUR/L,1.05
56,08/20,Brent (EUR/barrel),50.28
57,08/20,USD/EUROS,0.87
58,08/20,aluminium (EUR),1410.11
59,08/20,beams EUR/ton,629.0
60,08/20,coils EUR/ton,771.36
61,08/20,copper,6069.9
62,08/20,fuel all EUR/L,1.18
63,08/20,fuel fr EUR/L,1.05
64,09/20,Brent (EUR/barrel),53.9
65,09/20,USD/EUROS,0.87
66,09/20,aluminium (EUR),1464.46
67,09/20,beams EUR/ton,679.89
68,09/20,coils EUR/ton,848.85
69,09/20,copper,6285.64
70,09/20,fuel all EUR/L,1.2
71,09/20,fuel fr EUR/L,1.06
72,10/20,Brent (EUR/barrel),56.11
73,10/20,USD/EUROS,0.88
74,10/20,aluminium (EUR),1491.74
75,10/20,beams EUR/ton,668.58
76,10/20,coils EUR/ton,819.39
77,10/20,copper,6324.35
78,10/20,fuel all EUR/L,
79,10/20,fuel fr EUR/L,1.09
80,11/20,Brent (EUR/barrel),55.08
81,11/20,USD/EUROS,0.89
82,11/20,aluminium (EUR),1504.21
83,11/20,beams EUR/ton,676.91
84,11/20,coils EUR/ton,815.28
85,11/20,copper,6539.6
86,11/20,fuel all EUR/L,1.25
87,11/20,fuel fr EUR/L,1.09
88,12/20,Brent (EUR/barrel),54.55
89,12/20,USD/EUROS,0.89
90,12/20,aluminium (EUR),1529.17
91,12/20,beams EUR/ton,687.25
92,12/20,coils EUR/ton,824.7
93,12/20,copper,6678.29
94,12/20,fuel all EUR/L,1.24
95,12/20,fuel fr EUR/L,1.09
