,Date,variable,value
0,03/03/2016,aluminium (USD),1535.0
1,02/03/2016,aluminium (USD),1520.0
2,01/03/2016,aluminium (USD),1515.0
3,29/02/2016,aluminium (USD),1575.0
4,25/02/2016,aluminium (USD),1560.0
5,24/02/2016,aluminium (USD),1570.0
6,23/02/2016,aluminium (USD),1570.0
7,22/02/2016,aluminium (USD),1570.0
8,18/02/2016,aluminium (USD),1570.0
9,17/02/2016,aluminium (USD),1570.0
10,16/02/2016,aluminium (USD),1570.0
11,15/02/2016,aluminium (USD),1560.5
12,11/02/2016,aluminium (USD),1585.0
13,10/02/2016,aluminium (USD),1570.0
14,09/02/2016,aluminium (USD),1575.0
15,08/02/2016,aluminium (USD),1525.0
16,04/02/2016,aluminium (USD),1521.0
17,03/02/2016,aluminium (USD),1535.0
18,02/02/2016,aluminium (USD),1560.0
19,01/02/2016,aluminium (USD),1540.0
20,28/01/2016,aluminium (USD),1580.0
21,27/01/2016,aluminium (USD),1550.0
22,26/01/2016,aluminium (USD),1510.0
23,25/01/2016,aluminium (USD),1530.0
24,20/01/2016,aluminium (USD),1560.0
25,19/01/2016,aluminium (USD),1560.0
26,18/01/2016,aluminium (USD),1551.0
27,14/01/2016,aluminium (USD),1570.0
28,13/01/2016,aluminium (USD),1595.0
29,12/01/2016,aluminium (USD),1600.0
30,11/01/2016,aluminium (USD),1600.0
31,07/01/2016,aluminium (USD),1581.0
32,06/01/2016,aluminium (USD),1561.0
33,05/01/2016,aluminium (USD),1615.0
34,04/01/2016,aluminium (USD),1605.0
35,30/12/2015,aluminium (USD),1610.0
36,29/12/2015,aluminium (USD),1605.0
37,23/12/2015,aluminium (USD),1605.0
38,22/12/2015,aluminium (USD),1605.0
39,17/12/2015,aluminium (USD),1590.0
40,16/12/2015,aluminium (USD),1575.0
41,15/12/2015,aluminium (USD),1561.0
42,14/12/2015,aluminium (USD),1595.0
43,10/12/2015,aluminium (USD),1555.0
44,09/12/2015,aluminium (USD),1570.0
45,08/12/2015,aluminium (USD),1561.0
46,07/12/2015,aluminium (USD),1615.0
47,02/12/2015,aluminium (USD),1615.0
48,26/11/2015,aluminium (USD),1575.0
49,25/11/2015,aluminium (USD),1540.0
50,24/11/2015,aluminium (USD),1585.0
51,23/11/2015,aluminium (USD),1550.5
52,19/11/2015,aluminium (USD),1610.0
53,18/11/2015,aluminium (USD),1585.0
54,17/11/2015,aluminium (USD),1610.0
55,12/11/2015,aluminium (USD),1560.0
56,10/11/2015,aluminium (USD),1551.0
57,09/11/2015,aluminium (USD),1550.5
58,05/11/2015,aluminium (USD),1610.0
59,04/11/2015,aluminium (USD),1615.0
60,03/11/2015,aluminium (USD),1590.0
61,02/11/2015,aluminium (USD),1615.0
62,29/10/2015,aluminium (USD),1645.0
63,28/10/2015,aluminium (USD),1635.0
64,27/10/2015,aluminium (USD),1665.0
65,26/10/2015,aluminium (USD),1665.0
